method,buffer_m,num_boreholes,num_total_tokens,num_valid_tokens,num_eval_tokens,accuracy,kappa,nll,brier,ece,mean_confidence,mean_total_uncertainty,mean_aleatoric_uncertainty,mean_epistemic_uncertainty,mean_total_uncertainty_correct,mean_total_uncertainty_error,mean_epistemic_uncertainty_correct,mean_epistemic_uncertainty_error,error_auroc_total_uncertainty,error_auprc_total_uncertainty,error_auroc_epistemic,error_auprc_epistemic,accuracy_at_100pct_coverage,risk_at_100pct_coverage,accuracy_at_95pct_coverage,risk_at_95pct_coverage,accuracy_at_90pct_coverage,risk_at_90pct_coverage,accuracy_at_80pct_coverage,risk_at_80pct_coverage,accuracy_at_70pct_coverage,risk_at_70pct_coverage,accuracy_at_50pct_coverage,risk_at_50pct_coverage,aurc,space,error_auroc_confidence_complement,error_auprc_confidence_complement,error_auroc_predictive_entropy,error_auprc_predictive_entropy,error_auroc_expected_within_view_entropy,error_auprc_expected_within_view_entropy,error_auroc_between_view_mi,error_auprc_between_view_mi,error_auroc_support_distance,error_auprc_support_distance,support_distance_spearman_entropy,support_distance_spearman_mi
deep_ensemble,0,95.0,4560.0,1840.0,1840.0,0.7760869565217391,0.7006736107272311,0.6428518002474969,0.3244288815311505,0.0640580581906049,0.8382839330512545,0.422642377238093,0.41662690936203073,0.006015467876062237,0.35531368988946976,0.6560049149415736,0.004648955006032343,0.010751828017816335,0.7730395556280766,0.4668535160706917,0.7167027004976749,0.405253829572614,0.7760869565217391,0.2239130434782609,0.7923340961098398,0.20766590389016015,0.8073671497584541,0.19263285024154586,0.8478260869565217,0.15217391304347827,0.8788819875776398,0.1211180124223602,0.908695652173913,0.09130434782608698,0.09633278959844649,,,,,,,,,,,,,
deep_ensemble,50,95.0,4560.0,1840.0,1840.0,0.7429347826086956,0.6566375954847481,0.7114635004210144,0.36596963363916496,0.08627515274869357,0.8292099353573893,0.44418220049144863,0.4377244062640745,0.006457794227374104,0.3707400197776385,0.65643476082079,0.004558662834884478,0.011946404403977318,0.7605054818269974,0.4889331622519559,0.7303380343988705,0.49799523597561546,0.7429347826086956,0.2570652173913044,0.7597254004576659,0.2402745995423341,0.7747584541062802,0.2252415458937198,0.8145380434782609,0.18546195652173914,0.8416149068322981,0.15838509316770188,0.8902173913043478,0.10978260869565215,0.11933932534618977,,,,,,,,,,,,,
deep_ensemble,100,95.0,4560.0,1840.0,1840.0,0.6831521739130435,0.5763984867989798,0.9090981123162325,0.4619110214826884,0.12463048455183923,0.8074993241578341,0.4924558398588409,0.4829480518966549,0.009507787962185942,0.4208815998185497,0.6467762853659523,0.007443332699569774,0.013958937645047905,0.7013172204778455,0.4799018631766619,0.6879253197531219,0.4724854170026489,0.6831521739130435,0.3168478260869565,0.6945080091533181,0.3054919908466819,0.7089371980676329,0.2910628019323671,0.7323369565217391,0.26766304347826086,0.7546583850931677,0.24534161490683226,0.8119565217391305,0.18804347826086953,0.18516282239636578,,,,,,,,,,,,,
deep_ensemble,150,95.0,4560.0,1840.0,1840.0,0.6505434782608696,0.5304380612194275,1.0022770515426638,0.5152003197033409,0.14551434123321721,0.7960578194940867,0.5149373578426489,0.5024441354419611,0.012493222400687747,0.45353812470280547,0.6292373299552345,0.01021940383045566,0.016726131931897405,0.6553020706249814,0.4911688535537971,0.6262234123411172,0.4639336343883431,0.6505434782608696,0.34945652173913044,0.6670480549199085,0.3329519450800915,0.6739130434782609,0.32608695652173914,0.6936141304347826,0.3063858695652174,0.7158385093167702,0.2841614906832298,0.758695652173913,0.241304347826087,0.23544601655487996,,,,,,,,,,,,,
deep_ensemble,200,95.0,4560.0,1840.0,1840.0,0.4717391304347826,0.29147923438493484,1.6764032719146433,0.7727961420217914,0.29522364212443,0.7669627725592126,0.5889324271378269,0.568374248443718,0.02055817869410886,0.5455230455985078,0.6276971834918691,0.018285767108734117,0.02258745159133651,0.566128084049231,0.6012174319705059,0.5698818057689026,0.5806742840945411,0.4717391304347826,0.5282608695652173,0.482837528604119,0.517162471395881,0.49094202898550726,0.5090579710144927,0.4952445652173913,0.5047554347826086,0.4968944099378882,0.5031055900621118,0.5141304347826087,0.48586956521739133,0.4588113356074835,,,,,,,,,,,,,
deep_ensemble,250,95.0,4560.0,1840.0,1840.0,0.3184782608695652,0.08981892313227013,3.1786131824393213,1.0728905495244399,0.45607360697796806,0.7745518678475334,0.5857894729336967,0.5561463022212315,0.02964317071246505,0.5677174985910998,0.5942345901304764,0.026499716894790075,0.03111212122056516,0.5154549809211206,0.7091369749138081,0.5242017353343023,0.7086912833829129,0.3184782608695652,0.6815217391304348,0.32723112128146453,0.6727688787185355,0.3285024154589372,0.6714975845410628,0.33016304347826086,0.6698369565217391,0.3330745341614907,0.6669254658385093,0.33369565217391306,0.6663043478260869,0.6701546157644784,,,,,,,,,,,,,
llla,0,,,,1840.0,0.7657608695652174,0.6869520456829589,0.6728074488345513,0.3263281062556652,0.024485840162505258,0.7803202203758385,0.6432925013977143,0.48774516883549157,0.15554733258449352,,,,,0.7647918008032553,0.4551783100042538,0.6577915587398873,0.3522522700033438,0.7657608695652174,0.23423913043478262,0.7808924485125858,0.21910755148741423,0.7971014492753623,0.2028985507246377,0.8240489130434783,0.17595108695652173,0.8555900621118012,0.14440993788819878,0.9108695652173913,0.08913043478260874,0.09899634056772588,,,,,,,,,,,,,
llla,50,,,,1840.0,0.741304347826087,0.6542646314028486,0.7407641006659285,0.3639977772146214,0.026182848328481542,0.7651108111214379,0.684022921550533,0.5097758026074861,0.17424711891672695,,,,,0.7345409571453215,0.45813775983373506,0.639026651716405,0.3590081308877252,0.741304347826087,0.258695652173913,0.755720823798627,0.24427917620137296,0.7693236714975845,0.23067632850241548,0.8002717391304348,0.1997282608695652,0.8237577639751553,0.17624223602484468,0.8728260869565218,0.12717391304347825,0.12470348177418664,,,,,,,,,,,,,
llla,100,,,,1840.0,0.6896739130434782,0.5854891207859073,0.9393119795934862,0.4554649380146222,0.06932053881818834,0.7288052770916534,0.7669125353330342,0.5453562118938071,0.22155632348579313,,,,,0.67419496852742,0.43271921887507664,0.6189478594367366,0.38419564388239796,0.6896739130434782,0.31032608695652175,0.6979405034324943,0.30205949656750575,0.7101449275362319,0.28985507246376807,0.7309782608695652,0.2690217391304348,0.7445652173913043,0.2554347826086957,0.8032608695652174,0.19673913043478264,0.18828243985014226,,,,,,,,,,,,,
llla,150,,,,1840.0,0.6407608695652174,0.519401899884616,1.0256193363217583,0.5050518804312728,0.06887959518834301,0.6881283114623764,0.8680199025401278,0.5670662301835483,0.3009536720812321,,,,,0.627522234155718,0.4608082910169802,0.5708458282166866,0.3984652279890252,0.6407608695652174,0.3592391304347826,0.6475972540045767,0.3524027459954233,0.6545893719806763,0.34541062801932365,0.6623641304347826,0.3376358695652174,0.6909937888198758,0.30900621118012417,0.725,0.275,0.2500753891419651,,,,,,,,,,,,,
llla,200,,,,1840.0,0.4668478260869565,0.2890671586239164,1.5295321779514606,0.7267319437910784,0.17512472472760987,0.6240157622682012,1.017818147405658,0.5964986621584419,0.42131948520267465,,,,,0.5486323973897533,0.5795721924903293,0.5401641669010382,0.5675010236538265,0.4668478260869565,0.5331521739130435,0.4759725400457666,0.5240274599542334,0.4782608695652174,0.5217391304347826,0.485054347826087,0.5149456521739131,0.484472049689441,0.515527950310559,0.4967391304347826,0.5032608695652174,0.46957201740738297,,,,,,,,,,,,,
llla,250,,,,1840.0,0.3108695652173913,0.08589303422063366,2.3401673263931233,0.9519717787893219,0.28497168216044494,0.5958412473778362,1.0925174152478576,0.5537009943600582,0.5388164203897442,,,,,0.5208452824777746,0.7236435138047927,0.5262072312545498,0.7250653696623556,0.3108695652173913,0.6891304347826087,0.3157894736842105,0.6842105263157895,0.3242753623188406,0.6757246376811594,0.3328804347826087,0.6671195652173914,0.3361801242236025,0.6638198757763976,0.3217391304347826,0.6782608695652175,0.7005901536894453,,,,,,,,,,,,,
mc_dropout,0,95.0,4560.0,1840.0,1840.0,0.7684782608695652,0.6902265088238259,0.6227266842264446,0.32080073887853533,0.028382936946075906,0.7968049841568522,0.5396251128009601,0.50342126903276,0.0362038437682001,0.4680669413770179,0.7771444893114163,0.03056985665708143,0.05490444887411981,0.7775489571089905,0.47080647994949487,0.755715813029995,0.4331183805903621,0.7684782608695652,0.23152173913043483,0.7866132723112128,0.2133867276887872,0.8013285024154589,0.19867149758454106,0.8403532608695652,0.1596467391304348,0.8734472049689441,0.12655279503105588,0.9206521739130434,0.07934782608695656,0.09867767290835097,,,,,,,,,,,,,
mc_dropout,50,95.0,4560.0,1840.0,1840.0,0.7418478260869565,0.6547015894789076,0.6821696711185632,0.3566925906285258,0.04817344303364337,0.7877838936188947,0.5598472590340585,0.5212282583006131,0.03861900073344531,0.48514435175096704,0.7745198241738896,0.03265896778171638,0.055746253321045276,0.7572253711201079,0.48687190741411224,0.7331706188548294,0.4363356170918587,0.7418478260869565,0.25815217391304346,0.7585812356979404,0.24141876430205955,0.7753623188405797,0.2246376811594203,0.8077445652173914,0.19225543478260865,0.8385093167701864,0.16149068322981364,0.8869565217391304,0.11304347826086958,0.12125548294500645,,,,,,,,,,,,,
mc_dropout,100,95.0,4560.0,1840.0,1840.0,0.6885869565217392,0.583193978941476,0.8619722172481695,0.4470719208185318,0.08953672864514847,0.7668933981462666,0.6043423509534003,0.5623480871167925,0.04199426383660778,0.532443614355373,0.763322628910993,0.03623314750996055,0.05473306730233557,0.6956601390375363,0.48220542306374825,0.6799767490230596,0.44656046029564156,0.6885869565217392,0.3114130434782608,0.7030892448512586,0.29691075514874143,0.7137681159420289,0.28623188405797106,0.7432065217391305,0.2567934782608695,0.7624223602484472,0.23757763975155277,0.8108695652173913,0.18913043478260871,0.18579815308708783,,,,,,,,,,,,,
mc_dropout,150,95.0,4560.0,1840.0,1840.0,0.6413043478260869,0.518971397335805,0.9347639601164507,0.5006022451471421,0.11295581850344721,0.7542601663295342,0.629512645043534,0.5849240991863949,0.04458854585713905,0.5593029724631332,0.7550390293539474,0.03892417736588262,0.054715750129385385,0.6681471494607087,0.4964200181442911,0.6519215459681562,0.4784231540785263,0.6413043478260869,0.3586956521739131,0.6498855835240275,0.3501144164759725,0.6618357487922706,0.3381642512077294,0.6908967391304348,0.3091032608695652,0.7127329192546584,0.2872670807453416,0.7565217391304347,0.24347826086956526,0.23303355874064402,,,,,,,,,,,,,
mc_dropout,200,95.0,4560.0,1840.0,1840.0,0.4652173913043478,0.28336714846969036,1.5586063278310534,0.7552513464757364,0.2654088785790879,0.7306262698834357,0.6911153088354142,0.6441453057979031,0.04697000303751096,0.643985954729109,0.7321140152530942,0.04296548154518421,0.0504536111649822,0.5679208456804195,0.5974039955485704,0.5707749221183801,0.5896418689338685,0.4652173913043478,0.5347826086956522,0.4742562929061785,0.5257437070938216,0.47946859903381644,0.5205314009661836,0.48777173913043476,0.5122282608695652,0.4891304347826087,0.5108695652173914,0.4967391304347826,0.5032608695652174,0.4598014890237452,,,,,,,,,,,,,
mc_dropout,250,95.0,4560.0,1840.0,1840.0,0.32119565217391305,0.09263159972757162,2.971925573963204,1.045367699534537,0.42659041442624895,0.7469850045021461,0.657817990346508,0.6137391743022422,0.044078816044265764,0.6500305303478024,0.6615028493210757,0.041795669309479686,0.04515915208930865,0.5066997760645064,0.7032316995585206,0.5172970864000845,0.7078540673522319,0.32119565217391305,0.678804347826087,0.32608695652173914,0.6739130434782609,0.32910628019323673,0.6708937198067633,0.3383152173913043,0.6616847826086957,0.3447204968944099,0.65527950310559,0.32065217391304346,0.6793478260869565,0.6757529413109098,,,,,,,,,,,,,
subsample_ensemble,0,95.0,4560.0,1840.0,1840.0,0.778804347826087,0.7044023866325839,0.611407129561232,0.3155714489634242,0.05075128632395167,0.8276054649573306,0.443026060032223,0.40246349885406824,0.04056256117815471,0.37401424394140576,0.6860086950645107,0.029923657018402692,0.07802091415339954,0.7776884287700758,0.47906139598990055,0.7611889628637709,0.4647900744719047,0.778804347826087,0.22119565217391302,0.7951945080091534,0.20480549199084663,0.8158212560386473,0.1841787439613527,0.8457880434782609,0.15421195652173914,0.8827639751552795,0.11723602484472051,0.9206521739130434,0.07934782608695656,0.09233991377517294,,,,,,,,,,,,,
subsample_ensemble,50,95.0,4560.0,1840.0,1840.0,0.753804347826087,0.6713925603641522,0.6700526817793794,0.3483510426567213,0.06453734498632988,0.8183416928124169,0.46720945786826473,0.42304854270339054,0.04416091516487417,0.394783836432881,0.6889629610269341,0.0342901021469768,0.07438347069649372,0.7636138791140057,0.49522224355383726,0.7311228038344068,0.46419857533725184,0.753804347826087,0.24619565217391304,0.7740274599542334,0.2259725400457666,0.788647342995169,0.21135265700483097,0.8158967391304348,0.1841032608695652,0.8563664596273292,0.14363354037267084,0.9,0.09999999999999998,0.11290067346769318,,,,,,,,,,,,,
