embedding,configuration,uq_method,space,num_folds,accuracy,kappa,error_auroc_confidence_complement,error_auroc_total_uncertainty,error_auroc_epistemic,error_auprc_confidence_complement,error_auprc_total_uncertainty,error_auprc_epistemic,error_auprc_total_uncertainty_lift,error_auprc_epistemic_lift,aurc,ece,source
labse,Embeddings + XYZ + depth: PCA 32,LLLA,classification_head,11.0,0.6728260869565217,0.541640914385647,0.6778388140769326,0.687436099158321,0.6484421358523009,0.47605180768486505,0.5305322835920293,0.486395009735878,1.621560468121817,1.4866558437109891,0.2162797319303401,0.1308003953617551,C:\Users\p06596\Documents\check\CNR-BOVINO\progetti_BOVINO\geological-transformer\src\results_uq\unified_feature_representation_study\stage4_all_embeddings_ablation\labse\full_pca032\laplace\fold_metrics.csv
labse,Embeddings + XYZ + depth: PCA 32,MC dropout,classification_head,11.0,0.6657608695652174,0.5336415014340271,0.704601294176207,0.7130466074841479,0.6847708038200833,0.5208912367868637,0.5623807409757459,0.5078224080215861,1.6825700217810935,1.5193385866011682,0.2121371614824604,0.1133090938077024,C:\Users\p06596\Documents\check\CNR-BOVINO\progetti_BOVINO\geological-transformer\src\results_uq\unified_feature_representation_study\stage4_all_embeddings_ablation\labse\full_pca032\mc_dropout\fold_metrics.csv
labse,Embeddings + XYZ + depth: PCA 32,Subsample Ensemble,classification_head,11.0,0.6706521739130434,0.5409186441722673,0.706867040026531,0.7118437550202787,0.6648821318566567,0.5338239173605375,0.5680538354266226,0.5056218208089743,1.7247839227475006,1.5352213701130573,0.2043109317087471,0.1208333740253811,C:\Users\p06596\Documents\check\CNR-BOVINO\progetti_BOVINO\geological-transformer\src\results_uq\unified_feature_representation_study\stage4_all_embeddings_ablation\labse\full_pca032\subsample_ensemble\fold_metrics.csv
labse,Embeddings + XYZ + depth: PCA 32,TabICLv2: encoder input,encoder_input,,0.6326086956521739,0.5183238612160557,0.6271795380141931,0.6321244840277355,0.5858509221415645,0.47354040286932775,0.4580573322548891,0.4133656418330149,1.2467832712263254,1.1251372499596854,0.2591007589703618,0.1553469962414442,C:\Users\p06596\Documents\check\CNR-BOVINO\progetti_BOVINO\geological-transformer\src\results_uq\unified_feature_representation_study\stage4_all_embeddings_ablation\labse\full_pca032\tabicl\summary.csv
labse,Embeddings + XYZ + depth: PCA 32,TabICLv2: hidden,hidden,,0.6146739130434783,0.5010349844637587,0.677822963314914,0.6914147895131311,0.6642959848056876,0.5368979704151728,0.569114865949453,0.5094547067866623,1.476969468754575,1.3221391544251886,0.2447622481937809,0.2334872241770655,C:\Users\p06596\Documents\check\CNR-BOVINO\progetti_BOVINO\geological-transformer\src\results_uq\unified_feature_representation_study\stage4_all_embeddings_ablation\labse\full_pca032\tabicl\summary.csv
labse,Embeddings + XYZ + depth: PCA 32,TabICLv2: model input,model_input,,0.5826086956521739,0.4565566848234901,0.6093094099813433,0.5970015644434079,0.5966068097014926,0.508209969200814,0.481388308980287,0.4930393644127796,1.1533261569319375,1.1812401439056177,0.3144507720736876,0.1722213058604468,C:\Users\p06596\Documents\check\CNR-BOVINO\progetti_BOVINO\geological-transformer\src\results_uq\unified_feature_representation_study\stage4_all_embeddings_ablation\labse\full_pca032\tabicl\summary.csv
minilm-en,Embeddings + XYZ + depth: PCA 32,Deep Ensemble,classification_head,11.0,0.6858695652173913,0.5576151846714236,0.6954592315158561,0.7010611367054569,0.6415198024762744,0.4974893759455452,0.5402305408656343,0.4463304174390319,1.719765043586102,1.420844235446053,0.2055298611405953,0.1318550776528275,C:\Users\p06596\Documents\check\CNR-BOVINO\progetti_BOVINO\geological-transformer\src\results_uq\unified_feature_representation_study\stage3_minilm_ablation\full_pca032\deep_ensemble\fold_metrics.csv
minilm-en,Embeddings + XYZ + depth: PCA 32,LLLA,classification_head,11.0,0.6907608695652174,0.5599795747154273,0.6816367279268915,0.677821172553448,0.6119683909743211,0.471053579680411,0.510425917347192,0.445941888231248,1.6505864462545403,1.4420616420834733,0.2102914650708325,0.140151651446586,C:\Users\p06596\Documents\check\CNR-BOVINO\progetti_BOVINO\geological-transformer\src\results_uq\unified_feature_representation_study\stage3_minilm_ablation\full_pca032\laplace\fold_metrics.csv
minilm-en,Embeddings + XYZ + depth: PCA 32,MC dropout,classification_head,11.0,0.6907608695652174,0.5641262385942943,0.7038007519368803,0.7123405269270906,0.673309648995032,0.4914713388908286,0.5357005075485959,0.4488422947238695,1.732317985745899,1.4514408124638312,0.1969188960317999,0.1080798729444327,C:\Users\p06596\Documents\check\CNR-BOVINO\progetti_BOVINO\geological-transformer\src\results_uq\unified_feature_representation_study\stage3_minilm_ablation\full_pca032\mc_dropout\fold_metrics.csv
minilm-en,Embeddings + XYZ + depth: PCA 32,Subsample Ensemble,classification_head,11.0,0.6929347826086957,0.5666667426141135,0.7057088322054484,0.716700213710661,0.6892365759859808,0.5204342353468903,0.5392356804959663,0.5066722148986849,1.7560949594912885,1.6500475671036818,0.1909093934482024,0.1235144365578889,C:\Users\p06596\Documents\check\CNR-BOVINO\progetti_BOVINO\geological-transformer\src\results_uq\unified_feature_representation_study\stage3_minilm_ablation\full_pca032\subsample_ensemble\fold_metrics.csv
