embedding,configuration,uq_method,space,num_folds,accuracy,kappa,error_auroc_confidence_complement,error_auroc_total_uncertainty,error_auroc_epistemic,error_auprc_confidence_complement,error_auprc_total_uncertainty,error_auprc_epistemic,error_auprc_total_uncertainty_lift,error_auprc_epistemic_lift,aurc,ece,source
bge-m3,Embeddings + depth: PCA 8,TabICLv2: encoder input,encoder_input,,0.675,0.5603461227412359,0.6726204902008306,0.6615866630044324,0.6427840520468119,0.48849325098315566,0.4649192698800055,0.4101507103282936,1.430520830400017,1.2620021856255188,0.2218509121106693,0.1036969188540595,C:\Users\p06596\Documents\check\CNR-BOVINO\progetti_BOVINO\geological-transformer\src\results_uq\unified_feature_representation_study_lobo\stage4_all_embeddings_ablation\bge-m3\embeddings_depth_pca008\tabicl\summary.csv
bge-m3,Embeddings + depth: PCA 8,TabICLv2: hidden,hidden,,0.6891304347826087,0.581603231475802,0.6591046965652644,0.6591308927665394,0.6148179501886126,0.4695127505576886,0.4504365041359346,0.3973887170075389,1.4489565867309786,1.2783133554088666,0.2307827143741664,0.1302131181776833,C:\Users\p06596\Documents\check\CNR-BOVINO\progetti_BOVINO\geological-transformer\src\results_uq\unified_feature_representation_study_lobo\stage4_all_embeddings_ablation\bge-m3\embeddings_depth_pca008\tabicl\summary.csv
bge-m3,Embeddings + depth: PCA 8,TabICLv2: model input,model_input,,0.6820652173913043,0.5692277154181581,0.6633186910477746,0.6615479960499882,0.6409711581026323,0.4689303865852199,0.4615827435754679,0.4402460483825323,1.4518158088527537,1.3847055196989049,0.2142877370156912,0.1105329787208682,C:\Users\p06596\Documents\check\CNR-BOVINO\progetti_BOVINO\geological-transformer\src\results_uq\unified_feature_representation_study_lobo\stage4_all_embeddings_ablation\bge-m3\embeddings_depth_pca008\tabicl\summary.csv
distilroberta,Embeddings + depth: PCA 8,Deep Ensemble,classification_head,95.0,0.5788043478260869,0.4126960879283821,0.6437122520066637,0.6420303154443342,0.6212378786509081,0.5273285214393248,0.6012171041112971,0.5911018338122807,1.427405769761015,1.4033901602768986,0.3235898472470159,0.3022554320161757,C:\Users\p06596\Documents\check\CNR-BOVINO\progetti_BOVINO\geological-transformer\src\results_uq\unified_feature_representation_study_lobo\stage4_all_embeddings_ablation\distilroberta\embeddings_depth_pca008\deep_ensemble\fold_metrics.csv
distilroberta,Embeddings + depth: PCA 8,LLLA,classification_head,95.0,0.5847826086956521,0.4241048467060048,0.6389867455575234,0.6500757136049362,0.5763067166633311,0.5157930837555744,0.5936315270011011,0.5502389468991432,1.4296884943482016,1.3251828040502924,0.3102962415880156,0.3017161069842784,C:\Users\p06596\Documents\check\CNR-BOVINO\progetti_BOVINO\geological-transformer\src\results_uq\unified_feature_representation_study_lobo\stage4_all_embeddings_ablation\distilroberta\embeddings_depth_pca008\laplace\fold_metrics.csv
distilroberta,Embeddings + depth: PCA 8,MC dropout,classification_head,95.0,0.5831521739130435,0.423471001692924,0.6240991699787727,0.6166365434283155,0.5612715575828686,0.5141090415623923,0.5826846543476709,0.547641290392234,1.3978354159057558,1.313767893509401,0.335479384864338,0.3084928271077249,C:\Users\p06596\Documents\check\CNR-BOVINO\progetti_BOVINO\geological-transformer\src\results_uq\unified_feature_representation_study_lobo\stage4_all_embeddings_ablation\distilroberta\embeddings_depth_pca008\mc_dropout\fold_metrics.csv
distilroberta,Embeddings + depth: PCA 8,Subsample Ensemble,classification_head,95.0,0.5826086956521739,0.4193103368049928,0.6374900400342041,0.6417983749811332,0.5840962751849181,0.5251248710927343,0.5953760251849816,0.5541176864498717,1.426421727005685,1.3275736237861508,0.3249925869946913,0.3072344037663677,C:\Users\p06596\Documents\check\CNR-BOVINO\progetti_BOVINO\geological-transformer\src\results_uq\unified_feature_representation_study_lobo\stage4_all_embeddings_ablation\distilroberta\embeddings_depth_pca008\subsample_ensemble\fold_metrics.csv
distilroberta,Embeddings + depth: PCA 8,TabICLv2: encoder input,encoder_input,,0.6673913043478261,0.5479928454678865,0.6601852738924018,0.6540192352728279,0.6224904728449469,0.4560309009863198,0.4421091289263822,0.4212960561659025,1.3292169889289924,1.266641737492256,0.2283794942244519,0.1124339742426962,C:\Users\p06596\Documents\check\CNR-BOVINO\progetti_BOVINO\geological-transformer\src\results_uq\unified_feature_representation_study_lobo\stage4_all_embeddings_ablation\distilroberta\embeddings_depth_pca008\tabicl\summary.csv
distilroberta,Embeddings + depth: PCA 8,TabICLv2: hidden,hidden,,0.6168478260869565,0.4816969749275107,0.671515605961196,0.6684825194488706,0.6389227356515762,0.5283173938761365,0.5275198762978481,0.4981911678909779,1.3767894643801994,1.3002436154885098,0.2846211252265586,0.1762245232139969,C:\Users\p06596\Documents\check\CNR-BOVINO\progetti_BOVINO\geological-transformer\src\results_uq\unified_feature_representation_study_lobo\stage4_all_embeddings_ablation\distilroberta\embeddings_depth_pca008\tabicl\summary.csv
distilroberta,Embeddings + depth: PCA 8,TabICLv2: model input,model_input,,0.6630434782608695,0.5423221613884072,0.6628239026969857,0.6557469592808037,0.637248810153358,0.49128080734976576,0.4695980694881831,0.4420889427495683,1.3936458836423498,1.3120058946116218,0.2292104573593798,0.1230614632424819,C:\Users\p06596\Documents\check\CNR-BOVINO\progetti_BOVINO\geological-transformer\src\results_uq\unified_feature_representation_study_lobo\stage4_all_embeddings_ablation\distilroberta\embeddings_depth_pca008\tabicl\summary.csv
