fold_name,control,embedding_control,xyz_control,num_eval_tokens,accuracy,kappa,nll,brier,ece,mean_confidence,mean_total_uncertainty,mean_aleatoric_uncertainty,mean_epistemic_uncertainty,error_auroc_total_uncertainty,error_auprc_total_uncertainty,error_auroc_epistemic,error_auprc_epistemic,accuracy_at_100pct_coverage,risk_at_100pct_coverage,accuracy_at_95pct_coverage,risk_at_95pct_coverage,accuracy_at_90pct_coverage,risk_at_90pct_coverage,accuracy_at_80pct_coverage,risk_at_80pct_coverage,accuracy_at_70pct_coverage,risk_at_70pct_coverage,accuracy_at_50pct_coverage,risk_at_50pct_coverage,aurc,agreement_with_true_labels,predicted_class_entropy,predicted_max_class_fraction,mean_variation_ratio,method
A1,real,gaussian_full,xyz_4sigma,26.0,0.8846153846153846,0.7111111111111112,0.1749564707279205,0.1059895381331443,0.0779775461325278,0.8874332904815674,0.2708106338977813,0.2533928155899048,0.0174178276211023,0.9855072463768116,0.9166666666666664,0.9855072463768116,0.9166666666666664,0.8846153846153846,0.1153846153846154,0.92,0.0799999999999999,0.9583333333333334,0.0416666666666666,1.0,0.0,1.0,0.0,1.0,0.0,0.0085706628934053,0.8846153846153846,0.7968838393163717,0.7307692307692307,0.112566766830591,MC dropout
A1,embedding_only,gaussian_full,xyz_4sigma,26.0,0.9230769230769232,0.8066914498141264,0.2068782895803451,0.1193807572126388,0.083545283629344,0.8956687450408936,0.2938199639320373,0.2783044576644897,0.0155155202373862,0.9375,0.5,0.9583333333333331,0.75,0.9230769230769232,0.0769230769230768,0.92,0.0799999999999999,0.9583333333333334,0.0416666666666666,1.0,0.0,1.0,0.0,1.0,0.0,0.0078310179229911,0.9230769230769232,0.7435648254271452,0.7307692307692307,0.1043313237336965,MC dropout
A1,xyz_only,gaussian_full,xyz_4sigma,26.0,0.8076923076923077,0.3896713615023475,0.406345397233963,0.2378050684928894,0.1038301174457256,0.8993313908576965,0.2533296644687652,0.2385355085134506,0.0147941503673791,0.9714285714285714,0.8766666666666667,0.9714285714285714,0.8766666666666667,0.8076923076923077,0.1923076923076923,0.84,0.16,0.875,0.125,0.9523809523809524,0.0476190476190476,1.0,0.0,1.0,0.0,0.0250044910496415,0.8076923076923077,0.3576271598532216,0.8846153846153846,0.1006685930948991,MC dropout
A1,embedding_and_xyz,gaussian_full,xyz_4sigma,26.0,0.7692307692307693,0.1958762886597937,0.4541749954223633,0.269698828458786,0.1462568308298404,0.8977622389793396,0.2546600103378296,0.2410863488912582,0.0135736083611845,1.0,1.0,1.0,1.0,0.7692307692307693,0.2307692307692307,0.8,0.1999999999999999,0.8333333333333334,0.1666666666666666,0.9523809523809524,0.0476190476190476,1.0,0.0,1.0,0.0,0.0288851616610813,0.7692307692307693,0.2711893730418441,0.9230769230769232,0.1022378183328188,MC dropout
A10,real,gaussian_full,xyz_4sigma,19.0,0.5789473684210527,0.3968253968253968,0.7156649231910706,0.4655060470104217,0.2352181814218822,0.7359440326690674,0.6690869331359863,0.6154193878173828,0.0536675080657005,0.7613636363636364,0.7018554362304362,0.7727272727272727,0.6613553113553113,0.5789473684210527,0.4210526315789473,0.5789473684210527,0.4210526315789473,0.6111111111111112,0.3888888888888888,0.625,0.375,0.5714285714285714,0.4285714285714286,0.8,0.1999999999999999,0.2019306929197755,0.5789473684210527,1.2381696412229657,0.3684210526315789,0.2640560049759714,MC dropout
A10,embedding_only,gaussian_full,xyz_4sigma,19.0,0.631578947368421,0.4316239316239315,0.6647655963897705,0.425010085105896,0.2987635072908903,0.7035674452781677,0.7278687953948975,0.6698452830314636,0.058023601770401,0.738095238095238,0.5304421768707483,0.7023809523809523,0.5421467421467421,0.631578947368421,0.368421052631579,0.631578947368421,0.368421052631579,0.6111111111111112,0.3888888888888888,0.625,0.375,0.6428571428571429,0.3571428571428571,0.8,0.1999999999999999,0.1697874690623591,0.631578947368421,1.2112144216250416,0.4210526315789473,0.2964325735443516,MC dropout
A10,xyz_only,gaussian_full,xyz_4sigma,19.0,0.3684210526315789,0.2549019607843137,2.386818647384644,1.1360182762145996,0.6267493900499845,0.866391658782959,0.430501788854599,0.4018234014511108,0.0286783948540687,0.1309523809523809,0.4918277925921114,0.1547619047619047,0.4881451326594516,0.3684210526315789,0.631578947368421,0.3684210526315789,0.631578947368421,0.3333333333333333,0.6666666666666667,0.3125,0.6875,0.2857142857142857,0.7142857142857143,0.1,0.9,0.825067843323913,0.3684210526315789,0.8092054732283176,0.631578947368421,0.1336083318057813,MC dropout
A10,embedding_and_xyz,gaussian_full,xyz_4sigma,19.0,0.2631578947368421,0.1335504885993486,2.066803216934204,1.1436132192611694,0.6127663019456361,0.7952819466590881,0.5771803855895996,0.5386511087417603,0.0385292656719684,0.3,0.7239777456191653,0.4142857142857143,0.7692223819352302,0.2631578947368421,0.736842105263158,0.2631578947368421,0.736842105263158,0.2777777777777778,0.7222222222222222,0.25,0.75,0.2857142857142857,0.7142857142857143,0.1,0.9,0.8265147097394123,0.2631578947368421,0.6236548495681085,0.6842105263157895,0.2047180000104402,MC dropout
A11,real,gaussian_full,xyz_4sigma,17.0,0.9411764705882352,0.8843537414965986,0.2439363151788711,0.1258544623851776,0.0973376491490532,0.8438388109207153,0.3855701982975006,0.3634411990642547,0.0221289619803428,1.0,1.0,0.9375,0.5,0.9411764705882352,0.0588235294117647,0.9411764705882352,0.0588235294117647,1.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0,0.0017301038062283,0.9411764705882352,0.8463658296262874,0.5882352941176471,0.1561611540177289,MC dropout
A11,embedding_only,gaussian_full,xyz_4sigma,17.0,0.8235294117647058,0.6751592356687898,0.3532609641551971,0.2130004614591598,0.19055476083475,0.8287425637245178,0.4266198873519897,0.3992999494075775,0.0273199081420898,0.9761904761904764,0.9166666666666664,0.9523809523809524,0.8055555555555556,0.8235294117647058,0.1764705882352941,0.8235294117647058,0.1764705882352941,0.875,0.125,0.9285714285714286,0.0714285714285714,1.0,0.0,1.0,0.0,0.0206665018948756,0.8235294117647058,1.0375911080918452,0.5294117647058824,0.17125745380626,MC dropout
