"","borehole","Depth","Description","Unit","Valid","campaign","DEPTH","x","y","z"
"1","P2","0","Terreno.","Riporto","1","Troncone","31.500",528575.564,4566317.008,569
"2","P2","0.05","Terreno.","Riporto","1","Troncone","31.500",528575.564,4566317.008,569
"3","P2","0.1","Terreno.","Riporto","1","Troncone","31.500",528575.564,4566317.008,569
"4","P2","0.15","Terreno.","Riporto","1","Troncone","31.500",528575.564,4566317.008,569
"5","P2","0.2","Terreno.","Riporto","1","Troncone","31.500",528575.564,4566317.008,569
"6","P2","0.25","Terreno.","Riporto","1","Troncone","31.500",528575.564,4566317.008,569
"7","P2","0.3","Terreno.","Riporto","1","Troncone","31.500",528575.564,4566317.008,569
"8","P2","0.35","Terreno.","Riporto","1","Troncone","31.500",528575.564,4566317.008,569
"9","P2","0.4","Terreno.","Riporto","1","Troncone","31.500",528575.564,4566317.008,569
"10","P2","0.45","Terreno.","Riporto","1","Troncone","31.500",528575.564,4566317.008,569
"11","P2","0.5","Terreno.","Riporto","1","Troncone","31.500",528575.564,4566317.008,569
"12","P2","0.55","Terreno.","Riporto","1","Troncone","31.500",528575.564,4566317.008,569
"13","P2","0.6","Terreno.","Riporto","1","Troncone","31.500",528575.564,4566317.008,569
"14","P2","0.65","Terreno.","Riporto","1","Troncone","31.500",528575.564,4566317.008,569
"15","P2","0.7","Terreno.","Riporto","1","Troncone","31.500",528575.564,4566317.008,569
"16","P2","0.75","Terreno.","Riporto","1","Troncone","31.500",528575.564,4566317.008,569
"17","P2","0.8","Terreno.","Riporto","1","Troncone","31.500",528575.564,4566317.008,569
"18","P2","0.85","Terreno.","Riporto","1","Troncone","31.500",528575.564,4566317.008,569
"19","P2","0.9","Terreno.","Riporto","1","Troncone","31.500",528575.564,4566317.008,569
"20","P2","0.95","Terreno.","Riporto","1","Troncone","31.500",528575.564,4566317.008,569
"21","P2","1","Terreno.","Riporto","1","Troncone","31.500",528575.564,4566317.008,569
"22","P2","1.05","Argilla avana scagliosa con ciottolini inclusi in matrice limosa sabbiosa.","3","1","Troncone","31.500",528575.564,4566317.008,569
"23","P2","1.1","Argilla avana scagliosa con ciottolini inclusi in matrice limosa sabbiosa.","3","1","Troncone","31.500",528575.564,4566317.008,569
"24","P2","1.15","Argilla avana scagliosa con ciottolini inclusi in matrice limosa sabbiosa.","3","1","Troncone","31.500",528575.564,4566317.008,569
"25","P2","1.2","Argilla avana scagliosa con ciottolini inclusi in matrice limosa sabbiosa.","3","1","Troncone","31.500",528575.564,4566317.008,569
"26","P2","1.25","Argilla avana scagliosa con ciottolini inclusi in matrice limosa sabbiosa.","3","1","Troncone","31.500",528575.564,4566317.008,569
"27","P2","1.3","Argilla avana scagliosa con ciottolini inclusi in matrice limosa sabbiosa.","3","1","Troncone","31.500",528575.564,4566317.008,569
"28","P2","1.35","Argilla avana scagliosa con ciottolini inclusi in matrice limosa sabbiosa.","3","1","Troncone","31.500",528575.564,4566317.008,569
"29","P2","1.4","Argilla avana scagliosa con ciottolini inclusi in matrice limosa sabbiosa.","3","1","Troncone","31.500",528575.564,4566317.008,569
"30","P2","1.45","Argilla avana scagliosa con ciottolini inclusi in matrice limosa sabbiosa.","3","1","Troncone","31.500",528575.564,4566317.008,569
"31","P2","1.5","Argilla avana scagliosa con ciottolini inclusi in matrice limosa sabbiosa.","3","1","Troncone","31.500",528575.564,4566317.008,569
"32","P2","1.55","Argilla avana scagliosa con ciottolini inclusi in matrice limosa sabbiosa.","3","1","Troncone","31.500",528575.564,4566317.008,569
"33","P2","1.6","Argilla avana scagliosa con ciottolini inclusi in matrice limosa sabbiosa.","3","1","Troncone","31.500",528575.564,4566317.008,569
"34","P2","1.65","Argilla avana scagliosa con ciottolini inclusi in matrice limosa sabbiosa.","3","1","Troncone","31.500",528575.564,4566317.008,569
"35","P2","1.7","Argilla avana scagliosa con ciottolini inclusi in matrice limosa sabbiosa.","3","1","Troncone","31.500",528575.564,4566317.008,569
"36","P2","1.75","Argilla avana scagliosa con ciottolini inclusi in matrice limosa sabbiosa.","3","1","Troncone","31.500",528575.564,4566317.008,569
"37","P2","1.8","Argilla avana scagliosa con ciottolini inclusi in matrice limosa sabbiosa.","3","1","Troncone","31.500",528575.564,4566317.008,569
"38","P2","1.85","Argilla avana scagliosa con ciottolini inclusi in matrice limosa sabbiosa.","3","1","Troncone","31.500",528575.564,4566317.008,569
"39","P2","1.9","Argilla avana scagliosa con ciottolini inclusi in matrice limosa sabbiosa.","3","1","Troncone","31.500",528575.564,4566317.008,569
"40","P2","1.95","Argilla avana scagliosa con ciottolini inclusi in matrice limosa sabbiosa.","3","1","Troncone","31.500",528575.564,4566317.008,569
"41","P2","2","Argilla avana scagliosa con ciottolini inclusi in matrice limosa sabbiosa.","3","1","Troncone","31.500",528575.564,4566317.008,569
"42","P2","2.05","Argilla avana scagliosa con ciottolini inclusi in matrice limosa sabbiosa.","3","1","Troncone","31.500",528575.564,4566317.008,569
"43","P2","2.1","Argilla avana scagliosa con ciottolini inclusi in matrice limosa sabbiosa.","3","1","Troncone","31.500",528575.564,4566317.008,569
"44","P2","2.15","Argilla avana scagliosa con ciottolini inclusi in matrice limosa sabbiosa.","3","1","Troncone","31.500",528575.564,4566317.008,569
"45","P2","2.2","Argilla avana scagliosa con ciottolini inclusi in matrice limosa sabbiosa.","3","1","Troncone","31.500",528575.564,4566317.008,569
"46","P2","2.25","Argilla avana scagliosa con ciottolini inclusi in matrice limosa sabbiosa.","3","1","Troncone","31.500",528575.564,4566317.008,569
"47","P2","2.3","Argilla avana scagliosa con ciottolini inclusi in matrice limosa sabbiosa.","3","1","Troncone","31.500",528575.564,4566317.008,569
"48","P2","2.35","Argilla avana scagliosa con ciottolini inclusi in matrice limosa sabbiosa.","3","1","Troncone","31.500",528575.564,4566317.008,569
"49","P2","2.4","Argilla avana scagliosa con ciottolini inclusi in matrice limosa sabbiosa.","3","1","Troncone","31.500",528575.564,4566317.008,569
"50","P2","2.45","Argilla avana scagliosa con ciottolini inclusi in matrice limosa sabbiosa.","3","1","Troncone","31.500",528575.564,4566317.008,569
"51","P2","2.5","Argilla avana scagliosa con ciottolini inclusi in matrice limosa sabbiosa.","3","1","Troncone","31.500",528575.564,4566317.008,569
"52","P2","2.55","Argilla avana scagliosa con ciottolini inclusi in matrice limosa sabbiosa.","3","1","Troncone","31.500",528575.564,4566317.008,569
"53","P2","2.6","Argilla avana scagliosa con ciottolini inclusi in matrice limosa sabbiosa.","3","1","Troncone","31.500",528575.564,4566317.008,569
"54","P2","2.65","Argilla avana scagliosa con ciottolini inclusi in matrice limosa sabbiosa.","3","1","Troncone","31.500",528575.564,4566317.008,569
"55","P2","2.7","Argilla avana scagliosa con ciottolini inclusi in matrice limosa sabbiosa.","3","1","Troncone","31.500",528575.564,4566317.008,569
"56","P2","2.75","Argilla avana scagliosa con ciottolini inclusi in matrice limosa sabbiosa.","3","1","Troncone","31.500",528575.564,4566317.008,569
"57","P2","2.8","Argilla avana scagliosa con ciottolini inclusi in matrice limosa sabbiosa.","3","1","Troncone","31.500",528575.564,4566317.008,569
"58","P2","2.85","Argilla avana scagliosa con ciottolini inclusi in matrice limosa sabbiosa.","3","1","Troncone","31.500",528575.564,4566317.008,569
"59","P2","2.9","Argilla avana scagliosa con ciottolini inclusi in matrice limosa sabbiosa.","3","1","Troncone","31.500",528575.564,4566317.008,569
"60","P2","2.95","Argilla avana scagliosa con ciottolini inclusi in matrice limosa sabbiosa.","3","1","Troncone","31.500",528575.564,4566317.008,569
"61","P2","3","Argilla avana scagliosa con ciottolini inclusi in matrice limosa sabbiosa.","3","1","Troncone","31.500",528575.564,4566317.008,569
"62","P2","3.05","Argilla avana scagliosa con ciottolini inclusi in matrice limosa sabbiosa.","3","1","Troncone","31.500",528575.564,4566317.008,569
"63","P2","3.1","Argilla avana scagliosa con ciottolini inclusi in matrice limosa sabbiosa.","3","1","Troncone","31.500",528575.564,4566317.008,569
"64","P2","3.15","Argilla avana scagliosa con ciottolini inclusi in matrice limosa sabbiosa.","3","1","Troncone","31.500",528575.564,4566317.008,569
